File Name,Input Parameters,Expected Result,Actual Result,Status,AI Rate
UserFiles\11\A\Solutions\Andi_11_andi_5_28.03.2023_11.08.31_A(2).exe,100 20,80,80,Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\Andi_11_andi_5_28.03.2023_11.08.31_A(2).exe,85 1,84,84,Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\Andi_11_andi_5_28.03.2023_11.08.31_A(2).exe,-5 20,-25,-25,Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\cathwatch_5_28.03.2023_11.08.40_A(1).exe,100 20,80,"80
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\cathwatch_5_28.03.2023_11.08.40_A(1).exe,85 1,84,"84
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\cathwatch_5_28.03.2023_11.08.40_A(1).exe,-5 20,-25,"-25
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\Holovko1_5_28.03.2023_11.14.02_A(3).exe,100 20,80,"80
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\Holovko1_5_28.03.2023_11.14.02_A(3).exe,85 1,84,"84
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\Holovko1_5_28.03.2023_11.14.02_A(3).exe,-5 20,-25,"-25
",Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\aernjdz_5_28.03.2023_11.25.45_A(1).py,100 20,80,80,Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\aernjdz_5_28.03.2023_11.25.45_A(1).py,85 1,84,84,Passed, rate_code(read_file(solution_file))
UserFiles\11\A\Solutions\aernjdz_5_28.03.2023_11.25.45_A(1).py,-5 20,-25,-25,Passed, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"2
Repeat",Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"0
Repeat",,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"14
Repeat",Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"1
Repeat",Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"3
Repeat",Repeat Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\cathwatch_5_28.03.2023_11.16.38_B(1).exe,"5
Repeat",Repeat Repeat Repeat Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\Faren_5_28.03.2023_11.10.10_B(1).exe,"2
Repeat",Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\Faren_5_28.03.2023_11.10.10_B(1).exe,"0
Repeat",,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\Faren_5_28.03.2023_11.10.10_B(1).exe,"14
Repeat",Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
UserFiles\11\B\Solutions\Faren_5_28.03.2023_11.10.10_B(1).exe,"1
Repeat",Repeat,Error converting string to integer: invalid literal for int() with base 10: 'Repeat',Error, rate_code(read_file(solution_file))
